id,location_id,title,event_start
0017de56-7e74-4139-9426-afb55825c7fe,76078,Paulien Cornelisse - Aanstalten,2023-01-18 20:15:00
0025b803-44b8-46e9-a621-c992c7fc06d6,20512,BOS|HUIS,2023-01-13 23:00:00
002710cc-298e-4240-8352-b56a7530c3ae,17415,Ice Kingdom - Jégkirályság (2023. előadásai),2023-01-14 15:00:00
0061bbc8-0866-492b-b0f4-d7af76985cbb,146581,Shinova,2023-01-14 20:30:00
006859b4-1d2c-4f2f-be15-c62331960685,6007,Lous And The Yakuza,2023-01-31 19:30:00
0091bd2f-2ae1-4715-ba2f-6edd325b417a,140252,"Oudjaarsnacht met Lola Haro, 24x33, Maito b2b Gamine",2022-12-31 23:30:00
00b26d33-6726-4a09-8493-ea2139fd2806,613,Froukje,2023-05-13 18:30:00
00b633bb-ebbd-43e2-a560-8ac40bcfecda,1547,Trash Island,2023-02-16 22:00:00
0108cad8-d960-4fe7-8cf0-81976b1d330f,219,Foute Feestje in Dordrecht: Qmusic The Party FOUT and more,2023-03-10 20:00:00
0114966a-95fa-4643-914d-741fda69f405,123482,The Winery Dogs,2023-06-13 20:00:00
0184ae54-304c-482e-b400-f73abf56fcf7,13513,Rundfunk - Todesangstschrei,2023-01-12 20:15:00
019546bb-5fc4-4408-849c-c4b8182082c4,1453,Electric Friday - DJ Stingray 313 - Imogen - Peter Eilmes,2023-01-13 23:59:00
01b700d5-6374-4dd3-8c11-1e5cd4c7e4a8,16874,Aranyosi Péter önálló estje Veszprémben,2023-01-13 18:00:00
01bb2a01-3bad-4500-b502-90b2848111f4,12648,W.A.S.P.,2023-03-17 20:00:00
01d4f16f-7b96-499f-840d-a597857be42c,172392,Rude Pride,2023-01-28 19:00:00
020b512b-60ce-4d6f-929d-42640f47fb42,6129,Happy 2023 - Nieuwjaarsconcert - Brussels Philharmonic,2023-01-07 20:00:00
0219da46-0a1e-4082-b820-d5a6bc21f97d,150719,Manchester City vs Chelsea,2023-01-08 16:30:00
022eeff0-3101-4d7b-9803-cf282e844b81,135,Peter Gabriel,2023-06-05 20:00:00
026917ab-e5e4-40b2-bf1b-4ba66b943bea,16706,Amelie Lens - Koboyo - Djerry C,2023-02-10 22:00:00
02f6e7ca-6549-4345-959d-0653a5060672,11314,Dr - Hook,2023-01-14 19:30:00
03433563-fb1e-460d-8e8c-d3d7944adc49,176709,Paul Kalkbrenner,2023-07-23 19:00:00
0370d9d6-d781-4bd9-90b1-9b8909384203,13853,Party With Attitude - 5 Years Anniversary,2023-02-04 23:00:00
0371ba33-402d-4972-9f25-6567ba8ea331,3310,The Amity Affliction,2023-01-22 18:00:00
03890ce9-b0c3-4339-902f-f2765882784d,17990,Juf Roos- Gaat Op Avontuur,2023-01-15 19:00:00
03a358c7-acb2-4b0d-95b3-a8f5fc26e69b,16067,Måneskin - Loud Kids Tour,2023-03-21 21:00:00
03a591aa-9639-4831-975c-ff6c5a6773c1,12570,Devin Townsend,2023-02-28 19:00:00
03a7d012-3057-49a9-94e8-c01be7a624ce,2536,Veldhuis en Kemper - Hou Dat Vast,2023-06-28 20:30:00
03cf5f5c-1051-4124-8f6c-b104a4e75f13,17345,Helge Schneider Live - Der letzte Torero - BIG L-A- Show,2023-03-30 20:00:00
03da29c5-f1fb-45e4-94c7-a24150943df1,45507,The Rocky Horror Show,2023-01-07 17:30:00
